*************Target variables in total: 40*************
Number of Fault Insertions: 468
Number of Faulty Executions: 406
,variable_name,importance_score,p_label
32,ceps_1,1.1184719326824595,-4
37,seps_1,1.1184719326824595,-4
13,d_4,1.031520201930747,-4
23,dd_1,1.031520201930747,4
20,temp_0,1.031520201930747,4
18,temp_3,1.031520201930747,-4
15,d_1,1.031520201930747,-4
10,e_1,1.031520201930747,4
8,e_4,1.031520201930747,4
7,result_err_0,1.031520201930747,4
39,stat_ct_0,0.8987271721084671,0
40,stat_cp_0,0.8987271721084671,0
47,stat_ca_0,0.8987271721084671,0
12,e_0,0.8967421314191054,0
17,d_0,0.8967421314191054,0
25,dd_0,0.8967421314191054,0
4,status_0,0.8962472406181017,0
3,fn_1,0.8962472406181017,0
38,z_0,0.8948840227655606,-1
43,result_err_10,0.8723667022006192,-1
45,result_err_8,0.8707269018780055,-1
44,result_err_9,0.8707269018780055,-1
46,ampl_0,0.8676317019853858,-1
42,result_val_2,0.8590814443498217,1
51,seps_0,0.8563423549187484,1
49,e2_0,0.8547376279214935,-1
50,ceps_0,0.8547376279214935,1
30,result_err_1,0.8393720234572155,1
33,abs_sum_0,0.839231179915718,1
41,sqrty_0,0.8355897671494665,1
6,y_0,0.832873056771521,3
5,y2_0,0.832873056771521,3
0,y_2,0.8208311849038917,1
34,sy_0,0.8148118899423051,2
28,result_val_0,0.8139987457862756,1
27,s_0,0.8139987457862756,1
26,cy_0,0.81214011721166,2
35,d_5,0.7986179194334524,1
1,result_val_1,0.0,-5
2,result_err_7,0.0,-5
