*************Target variables in total: 40*************
Number of Fault Insertions: 545
Number of Faulty Executions: 473
,variable_name,max_risk_diff,quantile1,quantile2
11,d_4,0.992992992992993,0,1
22,ceps_1,0.9451219512195121,0,1
39,seps_0,0.9169675090252708,9,6
24,sy_0,0.8472361809045227,9,0
26,seps_1,0.8170731707317073,0,5
6,y_0,0.7647647647647647,8,2
31,result_val_2,0.7427135678391961,0,9
0,y_2,0.6779999999999999,5,0
30,sqrty_0,0.6482412060301507,9,7
27,z_0,0.6261306532663317,8,1
19,s_0,0.5959798994974874,0,5
25,d_5,0.5206030150753769,0,6
5,y2_0,0.4834834834834835,8,2
18,cy_0,0.38994974874371857,1,7
23,abs_sum_0,0.38391959798994973,0,2
8,e_4,0.3033033033033033,1,0
20,result_val_0,0.24522613065326632,3,1
12,d_1,0.15015015015015015,1,0
9,e_1,0.06606606606606608,0,1
35,ampl_0,0.03316582914572863,8,2
14,temp_3,0.012012012012012014,1,0
17,dd_0,0.0,0,0
10,e_0,0.0,0,0
38,ceps_0,0.0,0,0
37,e2_0,0.0,0,0
36,stat_ca_0,0.0,0,0
34,result_err_8,0.0,0,0
33,result_err_9,0.0,0,0
32,result_err_10,0.0,0,0
2,result_err_7,0.0,0,0
28,stat_ct_0,0.0,0,0
29,stat_cp_0,0.0,0,0
16,dd_1,0.0,0,0
7,result_err_0,0.0,0,0
3,fn_1,0.0,0,0
13,d_0,0.0,0,0
21,result_err_1,0.0,0,0
1,result_val_1,0.0,0,0
15,temp_0,0.0,0,0
4,status_0,0.0,0,0
