*************Target variables in total: 40*************
Number of Fault Insertions: 767
Number of Faulty Executions: 649
,variable_name,importance_score,p_label
38,z_0,2.060413490346772,1
41,sqrty_0,2.060413490346772,-3
42,result_val_2,2.060413490346772,-4
43,result_err_10,2.060413490346772,2
44,result_err_9,2.060413490346772,2
45,result_err_8,2.060413490346772,2
46,ampl_0,2.060413490346772,2
23,dd_1,2.0474134340759327,4
20,temp_0,2.0474134340759327,4
18,temp_3,2.0474134340759327,-4
5,y2_0,2.0474134340759327,1
13,d_4,2.0474134340759327,-4
10,e_1,2.0474134340759327,4
15,d_1,2.0474134340759327,-4
8,e_4,2.0474134340759327,4
7,result_err_0,2.0474134340759327,4
6,y_0,2.0474134340759327,1
50,ceps_0,1.1737688284796362,1
49,e2_0,1.1737688284796362,-1
47,stat_ca_0,1.132141299607501,0
39,stat_ct_0,1.132141299607501,0
40,stat_cp_0,1.132141299607501,0
17,d_0,1.1301697866782758,0
25,dd_0,1.1301697866782758,0
12,e_0,1.1301697866782758,0
4,status_0,1.1296779808529156,0
3,fn_1,1.1296779808529156,0
51,seps_0,1.114212755323827,1
0,y_2,1.0738711070311726,-1
30,result_err_1,1.0431227948464743,1
33,abs_sum_0,1.0402889998595617,1
26,cy_0,0.9924787940817671,1
34,sy_0,0.9895510473058436,-2
35,d_5,0.9887996108851558,-2
28,result_val_0,0.9884526214872983,-1
27,s_0,0.9884526214872983,-1
37,seps_1,0.0,-5
32,ceps_1,0.0,-5
1,result_val_1,0.0,-5
2,result_err_7,0.0,-5
