*************Target variables in total: 40*************
Number of Fault Insertions: 496
Number of Faulty Executions: 418
,variable_name,max_risk_diff,quantile1,quantile2
0,y_2,0.805,6,0
35,ampl_0,0.7849246231155779,3,8
30,sqrty_0,0.7798994974874371,6,0
5,y2_0,0.7697697697697697,3,8
6,y_0,0.7687687687687688,3,8
27,z_0,0.6723618090452261,3,8
18,cy_0,0.5467336683417086,9,3
24,sy_0,0.40301507537688447,6,1
11,d_4,0.3943943943943944,0,8
39,seps_0,0.3574007220216606,9,7
8,e_4,0.35535535535535534,2,0
31,result_val_2,0.29648241206030146,5,8
12,d_1,0.2902902902902903,1,0
9,e_1,0.2872872872872873,1,0
25,d_5,0.2834170854271357,0,1
23,abs_sum_0,0.1798994974874372,0,9
19,s_0,0.1035175879396985,9,6
20,result_val_0,0.044221105527638194,7,6
17,dd_0,0.0,0,0
16,dd_1,0.0,0,0
38,ceps_0,0.0,0,0
37,e2_0,0.0,0,0
36,stat_ca_0,0.0,0,0
2,result_err_7,0.0,0,0
34,result_err_8,0.0,0,0
33,result_err_9,0.0,0,0
32,result_err_10,0.0,0,0
13,d_0,0.0,0,0
3,fn_1,0.0,0,0
29,stat_cp_0,0.0,0,0
28,stat_ct_0,0.0,0,0
4,status_0,0.0,0,0
26,seps_1,0.0,0,0
14,temp_3,0.0,0,0
7,result_err_0,0.0,0,0
15,temp_0,0.0,0,0
22,ceps_1,0.0,0,0
21,result_err_1,0.0,0,0
1,result_val_1,0.0,0,0
10,e_0,0.0,0,0
