*************Target variables in total: 40*************
Number of Fault Insertions: 1458
Number of Faulty Executions: 844
,variable_name,importance_score,p_label
13,d_4,3.3423532375934863,-4
25,dd_0,1.2564197990323782,0
17,d_0,1.2564197990323782,0
12,e_0,1.2564197990323782,0
39,stat_ct_0,1.2562132247616304,0
47,stat_ca_0,1.2562132247616304,0
40,stat_cp_0,1.2562132247616304,0
15,d_1,1.2561079308863383,1
23,dd_1,1.2561079308863383,-1
20,temp_0,1.2561079308863383,-1
18,temp_3,1.2561079308863383,1
10,e_1,1.2561079308863383,-1
8,e_4,1.2561079308863383,-1
7,result_err_0,1.2561079308863383,-1
4,status_0,1.255952380952381,0
3,fn_1,1.255952380952381,0
6,y_0,1.250162100659839,-1
5,y2_0,1.250162100659839,-1
38,z_0,1.249070459553092,-1
43,result_err_10,1.2249152095896592,-1
45,result_err_8,1.2231073529630505,-1
44,result_err_9,1.2231073529630505,-1
46,ampl_0,1.223045770006563,-1
50,ceps_0,1.2044924219682829,1
49,e2_0,1.2044924219682829,-1
51,seps_0,1.1560409249387027,1
42,result_val_2,1.1539482430293233,1
41,sqrty_0,1.1410279219945345,1
30,result_err_1,1.1282602084480975,1
33,abs_sum_0,1.126681167892939,1
0,y_2,1.112794075405713,1
35,d_5,1.097115757502887,1
34,sy_0,1.0942538457536612,-1
26,cy_0,1.0921098743820858,1
28,result_val_0,1.0863304576070851,1
27,s_0,1.0863304576070851,1
32,ceps_1,0.9607556829347623,1
37,seps_1,0.9317814525346585,1
1,result_val_1,0.0,-5
2,result_err_7,0.0,-5
