*************Target variables in total: 40*************
Number of Fault Insertions: 248
Number of Faulty Executions: 204
,variable_name,importance_score,p_label
51,seps_0,0.8948645317391808,2
50,ceps_0,0.6499290444524867,1
49,e2_0,0.6499290444524867,-1
43,result_err_10,0.6189325319591191,-1
45,result_err_8,0.6188285309544056,-1
44,result_err_9,0.6188285309544056,-1
46,ampl_0,0.6163387145193296,-1
38,z_0,0.5954161012020164,-1
41,sqrty_0,0.5916435280578276,2
5,y2_0,0.591625883632409,-1
6,y_0,0.591625883632409,-1
42,result_val_2,0.5877159093644079,1
0,y_2,0.5840362718481997,2
13,d_4,0.5816175001020797,-1
47,stat_ca_0,0.5816108339272987,0
40,stat_cp_0,0.5816108339272987,0
39,stat_ct_0,0.5816108339272987,0
20,temp_0,0.5807845766040517,-1
7,result_err_0,0.5807845766040517,-1
18,temp_3,0.5807845766040517,1
10,e_1,0.5807845766040517,-1
15,d_1,0.5807845766040517,1
8,e_4,0.5807845766040517,-1
23,dd_1,0.5807845766040517,-1
25,dd_0,0.5799573560767591,0
17,d_0,0.5799573560767591,0
12,e_0,0.5799573560767591,0
4,status_0,0.5795454545454545,0
3,fn_1,0.5795454545454545,0
34,sy_0,0.568849460129327,-2
35,d_5,0.5655744425195519,-1
26,cy_0,0.5614902840739816,-1
28,result_val_0,0.5607219825779127,-2
27,s_0,0.5607219825779127,-2
30,result_err_1,0.541452929027291,1
33,abs_sum_0,0.539957989509105,1
37,seps_1,0.0,-5
32,ceps_1,0.0,-5
1,result_val_1,0.0,-5
2,result_err_7,0.0,-5
