*************Target variables in total: 40*************
Number of Fault Insertions: 1523
Number of Faulty Executions: 952
,variable_name,importance_score,p_label
5,y2_0,4.408759384507403,4
6,y_0,4.408759384507403,4
25,dd_0,1.3117464691698242,0
12,e_0,1.3117464691698242,0
17,d_0,1.3117464691698242,0
39,stat_ct_0,1.311736519548788,0
47,stat_ca_0,1.311736519548788,0
40,stat_cp_0,1.311736519548788,0
23,dd_1,1.3115435578298753,-1
20,temp_0,1.3115435578298753,-1
18,temp_3,1.3115435578298753,1
15,d_1,1.3115435578298753,1
10,e_1,1.3115435578298753,-1
8,e_4,1.3115435578298753,-1
7,result_err_0,1.3115435578298753,-1
4,status_0,1.3112947658402205,0
3,fn_1,1.3112947658402205,0
38,z_0,1.3031385697332276,-1
46,ampl_0,1.2688685897894185,-1
45,result_err_8,1.26765821717482,-1
44,result_err_9,1.26765821717482,-1
43,result_err_10,1.2656042584897602,-1
50,ceps_0,1.2413704281492888,1
49,e2_0,1.2413704281492888,-1
13,d_4,1.2392323500508315,-1
51,seps_0,1.22806696827048,1
42,result_val_2,1.193700560610106,-1
30,result_err_1,1.1839592642703654,1
33,abs_sum_0,1.182729058915136,1
41,sqrty_0,1.1766941811411598,1
0,y_2,1.1486228444057176,-1
26,cy_0,1.1338823033364882,1
28,result_val_0,1.128769531329932,-1
27,s_0,1.128769531329932,-1
35,d_5,1.128727008548406,-2
34,sy_0,1.1280979850033794,-2
32,ceps_1,1.0361428265968913,1
37,seps_1,1.0138081374309085,1
1,result_val_1,0.0,-5
2,result_err_7,0.0,-5
