*************Target variables in total: 40*************
Number of Fault Insertions: 488
Number of Faulty Executions: 411
,variable_name,max_risk_diff,quantile1,quantile2
18,cy_0,0.7668341708542714,2,5
24,sy_0,0.7537688442211056,3,9
19,s_0,0.7517587939698492,0,8
6,y_0,0.7457457457457457,7,8
0,y_2,0.702,2,0
5,y2_0,0.7007007007007007,7,0
30,sqrty_0,0.6080402010050251,5,0
31,result_val_2,0.47939698492462307,2,0
27,z_0,0.4562814070351759,4,8
39,seps_0,0.42117930204572807,9,7
20,result_val_0,0.31959798994974875,0,8
23,abs_sum_0,0.21809045226130655,8,0
25,d_5,0.13366834170854272,9,7
35,ampl_0,0.11959798994974874,4,8
11,d_4,0.11311311311311312,0,8
8,e_4,0.1011011011011011,2,0
9,e_1,0.08008008008008008,1,0
12,d_1,0.06806806806806807,1,0
13,d_0,0.0,0,0
29,stat_cp_0,0.0,0,0
38,ceps_0,0.0,0,0
37,e2_0,0.0,0,0
36,stat_ca_0,0.0,0,0
34,result_err_8,0.0,0,0
33,result_err_9,0.0,0,0
32,result_err_10,0.0,0,0
2,result_err_7,0.0,0,0
3,fn_1,0.0,0,0
26,seps_1,0.0,0,0
28,stat_ct_0,0.0,0,0
4,status_0,0.0,0,0
14,temp_3,0.0,0,0
7,result_err_0,0.0,0,0
22,ceps_1,0.0,0,0
21,result_err_1,0.0,0,0
1,result_val_1,0.0,0,0
17,dd_0,0.0,0,0
16,dd_1,0.0,0,0
15,temp_0,0.0,0,0
10,e_0,0.0,0,0
