*************Target variables in total: 39*************
Number of Fault Insertions: 753
Number of Faulty Executions: 753
,variable_name,importance_score,p_label
46,dd_0,1.2023952095808383,0
38,d_0,1.2023952095808383,0
33,e_0,1.2023952095808383,0
25,status_0,1.2019154030327215,0
14,sgn_0,1.2019154030327215,0
3,P3_0,1.2019154030327215,0
6,TwoPi_0,1.2019154030327215,-1
7,P2_0,1.2019154030327215,0
8,P1_0,1.2019154030327215,0
24,status_red_0,1.2019154030327215,0
10,stat_0,1.2019154030327215,0
11,x_cut_0,1.2019154030327215,-1
1,y_1,1.152985980162427,-1
0,result_err_2,1.152985980162427,-1
2,delta_0,1.152985980162427,-1
34,d_4,1.1092503171150079,1
29,e_4,1.0982368006971954,-1
28,result_err_0,1.0982368006971954,-1
49,result_val_2,1.0921449098383038,1
44,dd_1,1.0920690396809773,-2
41,temp_0,1.0920690396809773,-2
19,result_val_4,1.0919515798909591,1
39,temp_3,1.0898000684499738,-2
36,d_1,1.0898000684499738,-2
9,theta_2,1.088328082086832,-1
5,r_0,1.088328082086832,-1
16,x_4,1.088328082086832,-1
56,p0_0,1.0881004067182452,0
54,p1_0,1.0881004067182452,0
51,sgn_3,1.0881004067182452,0
31,e_1,1.0873044376831758,-1
18,result_val_5,1.0855386440794577,1
27,y_0,1.0802045381026912,-1
48,t_0,1.0802045381026912,-1
26,y2_0,1.0802045381026912,-1
50,result_err_6,1.0738333172506904,1
52,x_5,0.9507609777004209,1
21,result_val_0,0.0,-5
23,result_err_4,0.0,-5
