*************Target variables in total: 31*************
Number of Fault Insertions: 730
Number of Faulty Executions: 730
,variable_name,max_risk_diff,quantile1,quantile2
24,dd_1,0.31831831831831836,0,6
23,temp_0,0.31831831831831836,0,4
22,temp_3,0.29329329329329334,7,6
20,d_1,0.2792792792792793,0,4
19,d_4,0.2692692692692693,0,1
17,e_1,0.25225225225225223,9,7
16,e_4,0.16516516516516522,9,0
26,t_0,0.009009009009009028,0,9
1,delta_0,0.009000000000000008,6,0
11,x_4,0.007000000000000006,1,0
28,x_5,0.005390835579514808,1,0
15,y_0,0.0030030030030030463,4,0
0,y_1,0.0030000000000000027,0,6
14,y2_0,0.0010010010010009784,3,0
13,status_0,0.0,0,0
29,p1_0,0.0,0,0
2,P3_0,0.0,0,0
27,sgn_3,0.0,0,0
3,r_0,0.0,0,0
25,dd_0,0.0,0,0
4,TwoPi_0,0.0,0,0
5,P2_0,0.0,0,0
6,P1_0,0.0,0,0
21,d_0,0.0,0,0
7,theta_2,0.0,0,0
8,stat_0,0.0,0,0
18,e_0,0.0,0,0
9,x_cut_0,0.0,0,0
10,sgn_0,0.0,0,0
12,status_red_0,0.0,0,0
30,p0_0,0.0,0,0
