*************Target variables in total: 40*************
Number of Fault Insertions: 757
Number of Faulty Executions: 756
,variable_name,importance_score,p_label
46,dd_0,1.2043010752688172,0
33,e_0,1.2043010752688172,0
38,d_0,1.2043010752688172,0
10,stat_0,1.2038216560509554,0
3,P3_0,1.2038216560509554,0
25,status_0,1.2038216560509554,0
6,TwoPi_0,1.2038216560509554,-1
7,P2_0,1.2038216560509554,0
8,P1_0,1.2038216560509554,0
24,status_red_0,1.2038216560509554,0
11,x_cut_0,1.2038216560509554,-1
14,sgn_0,1.2038216560509554,0
39,temp_3,1.1685272224042889,-1
41,temp_0,1.1685272224042889,-1
36,d_1,1.1685272224042889,-1
44,dd_1,1.1685272224042889,-1
34,d_4,1.1678987896985313,-1
26,y2_0,1.1669301408641763,-1
27,y_0,1.1669301408641763,-1
48,t_0,1.1669301408641763,-1
0,result_err_2,1.1639392829184094,1
2,delta_0,1.1625222730952391,-1
1,y_1,1.1513161522219435,-1
31,e_1,1.127716162671206,1
5,r_0,1.1095765465527712,-1
29,e_4,1.1082041543144776,1
28,result_err_0,1.1082041543144776,1
18,result_val_5,1.1050710153761352,1
16,x_4,1.0993508209648297,-1
9,theta_2,1.0993508209648297,-1
50,result_err_6,1.0864307903562826,-1
49,result_val_2,1.0771849371101594,1
19,result_val_4,1.0769928095051293,1
51,sgn_3,1.0145083174366052,0
54,p1_0,1.0145083174366052,1
56,p0_0,1.0145083174366052,0
52,x_5,0.872738086632347,1
57,r_1,0.7563514142220555,-1
21,result_val_0,0.0,-5
23,result_err_4,0.0,-5
