*************Target variables in total: 32*************
Number of Fault Insertions: 759
Number of Faulty Executions: 758
,variable_name,max_risk_diff,quantile1,quantile2
1,delta_0,1.0,2,0
28,x_5,0.1404109589041096,7,9
3,r_0,0.11299999999999999,2,8
11,x_4,0.05800000000000005,0,9
16,e_4,0.009009009009009028,8,0
14,y2_0,0.00800800800800805,2,0
0,y_1,0.007000000000000006,6,0
19,d_4,0.006006006006005982,3,2
17,e_1,0.004004004004004025,5,0
26,t_0,0.002002002002001957,1,0
20,d_1,0.0,0,0
30,p0_0,0.0,0,0
29,p1_0,0.0,0,0
2,P3_0,0.0,0,0
27,sgn_3,0.0,0,0
25,dd_0,0.0,0,0
24,dd_1,0.0,0,0
23,temp_0,0.0,0,0
22,temp_3,0.0,0,0
21,d_0,0.0,0,0
7,theta_2,0.0,0,0
8,stat_0,0.0,0,0
18,e_0,0.0,0,0
4,TwoPi_0,0.0,0,0
15,y_0,0.0,0,0
5,P2_0,0.0,0,0
13,status_0,0.0,0,0
12,status_red_0,0.0,0,0
6,P1_0,0.0,0,0
10,sgn_0,0.0,0,0
9,x_cut_0,0.0,0,0
31,r_1,0.0,0,0
