*************Target variables in total: 40*************
Number of Fault Insertions: 256
Number of Faulty Executions: 255
,variable_name,importance_score,p_label
2,delta_0,0.9065571958350624,1
0,result_err_2,0.8774401655254265,1
16,x_4,0.7168494055252275,-2
9,theta_2,0.7168494055252275,-2
5,r_0,0.6904824635796061,4
46,dd_0,0.6759443339960238,0
33,e_0,0.6759443339960238,0
38,d_0,0.6759443339960238,0
25,status_0,0.6754966887417219,0
14,sgn_0,0.6754966887417219,0
11,x_cut_0,0.6754966887417219,-1
24,status_red_0,0.6754966887417219,0
10,stat_0,0.6754966887417219,0
8,P1_0,0.6754966887417219,0
7,P2_0,0.6754966887417219,0
6,TwoPi_0,0.6754966887417219,-1
3,P3_0,0.6754966887417219,0
18,result_val_5,0.6731991399797949,1
50,result_err_6,0.6717604500527744,-2
26,y2_0,0.6639977794952965,-2
27,y_0,0.6639977794952965,-2
48,t_0,0.6639977794952965,-2
1,y_1,0.6546561565551828,-1
44,dd_1,0.6504520107861047,-1
41,temp_0,0.6504520107861047,-1
34,d_4,0.6486901076795696,-2
36,d_1,0.6471331467118036,-1
39,temp_3,0.6471331467118036,-1
49,result_val_2,0.6429249241233443,1
19,result_val_4,0.6427367909340757,1
29,e_4,0.6414261691540245,2
28,result_err_0,0.6414261691540245,2
57,r_1,0.6319548815051541,-1
31,e_1,0.6281480620066578,2
51,sgn_3,0.5221305061852141,0
54,p1_0,0.5221305061852141,0
56,p0_0,0.5221305061852141,0
52,x_5,0.5011967777772472,1
23,result_err_4,0.0,-5
21,result_val_0,0.0,-5
