*************Target variables in total: 39*************
Number of Fault Insertions: 240
Number of Faulty Executions: 240
,variable_name,importance_score,p_label
39,temp_3,0.8969481331709325,3
36,d_1,0.8969481331709325,3
41,temp_0,0.876372148901763,-3
44,dd_1,0.876372148901763,-3
31,e_1,0.7753841771771239,3
29,e_4,0.7673245932923961,3
28,result_err_0,0.7673245932923961,3
34,d_4,0.7066820636504632,-3
49,result_val_2,0.6640401597793457,-3
19,result_val_4,0.6640057204710027,-3
38,d_0,0.6490872210953347,0
33,e_0,0.6490872210953347,0
46,dd_0,0.6490872210953347,0
14,sgn_0,0.6486486486486486,0
10,stat_0,0.6486486486486486,0
3,P3_0,0.6486486486486486,0
6,TwoPi_0,0.6486486486486486,-1
7,P2_0,0.6486486486486486,0
8,P1_0,0.6486486486486486,0
11,x_cut_0,0.6486486486486486,-1
25,status_0,0.6486486486486486,0
24,status_red_0,0.6486486486486486,0
9,theta_2,0.6447851140830638,1
5,r_0,0.6447851140830638,1
16,x_4,0.6447851140830638,1
50,result_err_6,0.6392734945700969,2
54,p1_0,0.6289866002518613,0
51,sgn_3,0.6289866002518613,0
56,p0_0,0.6289866002518613,0
27,y_0,0.6276722572208299,2
26,y2_0,0.6276722572208299,2
48,t_0,0.6276722572208299,2
1,y_1,0.6248633783122619,-1
2,delta_0,0.6248633783122619,-1
0,result_err_2,0.6248633783122619,-1
52,x_5,0.6176861361070183,2
18,result_val_5,0.6091592999051028,-1
23,result_err_4,0.0,-5
21,result_val_0,0.0,-5
