*************Target variables in total: 31*************
Number of Fault Insertions: 513
Number of Faulty Executions: 513
,variable_name,max_risk_diff,quantile1,quantile2
7,theta_2,1.0,0,1
14,y2_0,0.8768768768768769,5,2
28,x_5,0.8625336927223719,0,3
11,x_4,0.853,3,1
3,r_0,0.6930000000000001,3,1
15,y_0,0.6066066066066065,1,9
23,temp_0,0.5265265265265265,0,2
24,dd_1,0.5255255255255256,0,2
26,t_0,0.5195195195195195,5,2
22,temp_3,0.5065065065065065,0,3
20,d_1,0.4924924924924925,0,3
19,d_4,0.4874874874874875,0,4
17,e_1,0.4184184184184184,9,5
0,y_1,0.11699999999999999,6,0
1,delta_0,0.11299999999999999,6,0
13,status_0,0.0,0,0
6,P1_0,0.0,0,0
29,p1_0,0.0,0,0
2,P3_0,0.0,0,0
27,sgn_3,0.0,0,0
4,TwoPi_0,0.0,0,0
25,dd_0,0.0,0,0
5,P2_0,0.0,0,0
8,stat_0,0.0,0,0
21,d_0,0.0,0,0
9,x_cut_0,0.0,0,0
10,sgn_0,0.0,0,0
18,e_0,0.0,0,0
12,status_red_0,0.0,0,0
16,e_4,0.0,0,0
30,p0_0,0.0,0,0
