*************Target variables in total: 28*************
Number of Fault Insertions: 256
Number of Faulty Executions: 256
,variable_name,importance_score,p_label
22,r_opt_0,0.6846322794221534,0
20,error_opt_0,0.6846322794221534,0
19,error_opt_1,0.6846322794221534,0
17,trunc_opt_0,0.6846322794221534,0
15,round_opt_0,0.6846322794221534,0
32,error_0,0.6772486772486772,0
26,round_0,0.6772486772486772,0
24,trunc_0,0.6772486772486772,0
36,r_0_0,0.6772486772486772,0
31,error_1,0.6761135628540201,3
27,abserr_0,0.6761135628540201,3
3,dy_0,0.6730303548939158,-1
1,abserr_round_1,0.6730303548939158,-1
13,h_opt_0,0.672813597182716,1
25,round_1,0.6661718825464455,1
2,abserr_trunc_1,0.6606108294009216,-1
9,r5_0,0.6587262641270147,1
10,r3_0,0.6587262641270147,1
5,result_1,0.655043843677739,1
28,result_3,0.655043843677739,1
35,r_0_1,0.655043843677739,1
23,trunc_1,0.6398338177313977,2
6,e3_0,0.6398338177313977,2
4,e5_0,0.6398338177313977,2
7,fm1_0,0.6398338177313977,2
8,fp1_0,0.6398338177313977,2
11,fmh_0,0.6398338177313977,2
0,fph_0,0.6398338177313977,2
