*************Target variables in total: 28*************
Number of Fault Insertions: 487
Number of Faulty Executions: 263
,variable_name,importance_score,p_label
36,r_0_0,0.6893840104849279,0
32,error_0,0.6893840104849279,0
26,round_0,0.6893840104849279,0
24,trunc_0,0.6893840104849279,0
22,r_opt_0,0.6834780141309784,0
20,error_opt_0,0.6834780141309784,0
19,error_opt_1,0.6834780141309784,0
17,trunc_opt_0,0.6834780141309784,0
15,round_opt_0,0.6834780141309784,0
3,dy_0,0.6812432040414942,-1
1,abserr_round_1,0.6780704388103814,-1
2,abserr_trunc_1,0.6739641747945027,-1
10,r3_0,0.6692560121773876,-1
9,r5_0,0.6692560121773876,-1
25,round_1,0.6517024676702191,-1
13,h_opt_0,0.6490583171672756,1
5,result_1,0.6487971645676526,1
28,result_3,0.6487971645676526,1
35,r_0_1,0.6487971645676526,1
23,trunc_1,0.635566614403021,-1
27,abserr_0,0.6316074990501405,-1
31,error_1,0.6316074990501405,-1
6,e3_0,0.6271043459406305,1
4,e5_0,0.6271043459406305,1
7,fm1_0,0.6271043459406305,1
8,fp1_0,0.6271043459406305,1
11,fmh_0,0.6271043459406305,1
0,fph_0,0.6271043459406305,1
