*************Target variables in total: 28*************
Number of Fault Insertions: 929
Number of Faulty Executions: 495
,variable_name,max_risk_diff,quantile1,quantile2
2,abserr_trunc_1,1.0,3,0
5,result_1,1.0,1,0
8,fp1_0,0.912,1,0
3,dy_0,0.908,3,1
0,fph_0,0.844,9,0
35,r_0_1,0.809,9,0
7,fm1_0,0.78,5,0
27,abserr_0,0.764,9,0
1,abserr_round_1,0.76,1,7
25,round_1,0.74,5,0
28,result_3,0.716,5,0
11,fmh_0,0.706,1,0
31,error_1,0.33199999999999996,1,8
23,trunc_1,0.118,9,2
26,round_0,0.0,0,0
22,r_opt_0,0.0,0,0
32,error_0,0.0,0,0
24,trunc_0,0.0,0,0
20,error_opt_0,0.0,0,0
19,error_opt_1,0.0,0,0
17,trunc_opt_0,0.0,0,0
15,round_opt_0,0.0,0,0
13,h_opt_0,0.0,0,0
10,r3_0,0.0,0,0
9,r5_0,0.0,0,0
6,e3_0,0.0,0,0
4,e5_0,0.0,0,0
36,r_0_0,0.0,0,0
