*************Target variables in total: 28*************
Number of Fault Insertions: 493
Number of Faulty Executions: 263
,variable_name,importance_score,p_label
22,r_opt_0,0.6896477472660654,0
20,error_opt_0,0.6896477472660654,0
19,error_opt_1,0.6896477472660654,0
17,trunc_opt_0,0.6896477472660654,0
15,round_opt_0,0.6896477472660654,0
32,error_0,0.6893840104849279,0
26,round_0,0.6893840104849279,0
24,trunc_0,0.6893840104849279,0
36,r_0_0,0.6893840104849279,0
3,dy_0,0.6853659650368787,-1
2,abserr_trunc_1,0.68167532346907,-1
1,abserr_round_1,0.6797013180266778,-1
10,r3_0,0.6661894350575511,-1
9,r5_0,0.6661894350575511,-1
25,round_1,0.6599255959093626,-1
13,h_opt_0,0.6442623008970729,-1
27,abserr_0,0.6424972618061373,-1
31,error_1,0.6424972618061373,-1
23,trunc_1,0.642357599023461,-1
5,result_1,0.6411005895775543,1
28,result_3,0.6411005895775543,1
35,r_0_1,0.6411005895775543,1
4,e5_0,0.6367857181814488,-1
6,e3_0,0.6367857181814488,-1
7,fm1_0,0.6367857181814488,-1
8,fp1_0,0.6367857181814488,-1
11,fmh_0,0.6367857181814488,-1
0,fph_0,0.6367857181814488,-1
