*************Target variables in total: 28*************
Number of Fault Insertions: 482
Number of Faulty Executions: 250
,variable_name,importance_score,p_label
9,r5_0,0.6915129607423318,3
10,r3_0,0.6915129607423318,3
13,h_opt_0,0.6772743318000426,3
3,dy_0,0.6708591113150104,-1
1,abserr_round_1,0.6706679247843673,-1
36,r_0_0,0.6666666666666666,0
32,error_0,0.6666666666666666,0
26,round_0,0.6666666666666666,0
24,trunc_0,0.6666666666666666,0
2,abserr_trunc_1,0.6619237695723171,-1
17,trunc_opt_0,0.6613980471524311,0
22,r_opt_0,0.6613980471524311,0
20,error_opt_0,0.6613980471524311,0
19,error_opt_1,0.6613980471524311,0
15,round_opt_0,0.6613980471524311,0
23,trunc_1,0.6567550702557547,-1
25,round_1,0.6423652953376793,-2
31,error_1,0.6411674662297387,-2
27,abserr_0,0.6411674662297387,-2
4,e5_0,0.6391720243393092,-2
6,e3_0,0.6300762785167668,-2
7,fm1_0,0.6300762785167668,-2
8,fp1_0,0.6300762785167668,-2
11,fmh_0,0.6300762785167668,-2
0,fph_0,0.6300762785167668,-2
5,result_1,0.6257831273631808,-2
28,result_3,0.6257831273631808,-2
35,r_0_1,0.6257831273631808,-2
