*************Target variables in total: 36*************
Number of Fault Insertions: 480
Number of Faulty Executions: 480
,variable_name,max_risk_diff,quantile1,quantile2
19,m_data_e2_0,1.0,0,3
20,m_data_e2_6,1.0,0,2
23,m_data_e1_0,1.0,6,0
24,m_data_e1_6,1.0,0,3
29,tmp_5,1.0,6,0
17,m_data_e2_3,0.889,9,3
22,m_data_e1_1,0.873,0,3
21,m_data_e1_3,0.869,9,3
27,tmp_2,0.721,6,2
18,m_data_e2_1,0.358,9,7
28,tmp_0,0.312,6,8
26,m_size1_1,0.0,0,0
25,size2_0,0.0,0,0
30,m_size2_1,0.0,0,0
31,size1_0,0.0,0,0
32,m_tda_4,0.0,0,0
33,m_tda_2,0.0,0,0
34,m_tda_1,0.0,0,0
0,view_matrix_block_0,0.0,0,0
1,view_matrix_tda_0,0.0,0,0
8,view_matrix_data_0,0.0,0,0
2,m_size1_0,0.0,0,0
3,m_owner_0,0.0,0,0
4,m_size2_0,0.0,0,0
5,m_tda_0,0.0,0,0
6,view_matrix_size2_0,0.0,0,0
7,view_matrix_size1_0,0.0,0,0
9,view_matrix_owner_0,0.0,0,0
16,e1_5,0.0,0,0
10,m_block_0,0.0,0,0
11,e2_2,0.0,0,0
12,e2_0,0.0,0,0
13,e2_5,0.0,0,0
14,e1_2,0.0,0,0
15,e1_0,0.0,0,0
35,m_tda_7,0.0,0,0
