*************Target variables in total: 13*************
Number of Fault Insertions: 525
Number of Faulty Executions: 525
,variable_name,importance_score,p_label
5,delta_0,1.633023579971195,4
22,sd_2,1.1093997300458034,-1
12,sd_0,1.1093997300458034,-1
8,variance_1,1.1080902797769936,-1
11,variance_4,1.1080902797769936,-1
3,mean_0,1.024390243902439,0
10,variance_0,1.024390243902439,0
16,skew_0,1.024390243902439,0
14,skew_1,1.013282292864778,1
20,skewness_0,1.013282292864778,1
1,mean_1,0.9568876653255118,-1
21,mean_7,0.9568876653255118,-1
18,x_0,0.9302474430285701,1
