*************Target variables in total: 13*************
Number of Fault Insertions: 742
Number of Faulty Executions: 742
,variable_name,importance_score,p_label
18,x_0,3.1740595341486975,4
3,mean_0,1.1948470209339774,0
16,skew_0,1.1948470209339774,0
10,variance_0,1.1948470209339774,0
11,variance_4,1.1920791212350563,-1
8,variance_1,1.1920791212350563,-1
1,mean_1,1.1787237651765596,-1
21,mean_7,1.1787237651765596,-1
12,sd_0,1.147837065464128,-1
22,sd_2,1.147837065464128,-1
5,delta_0,1.099518701914947,1
14,skew_1,1.0509394116812463,-1
20,skewness_0,1.0509394116812463,-1
