*************Target variables in total: 13*************
Number of Fault Insertions: 514
Number of Faulty Executions: 514
,variable_name,importance_score,p_label
3,mean_0,1.0138067061143983,0
16,skew_0,1.0138067061143983,0
10,variance_0,1.0138067061143983,0
11,variance_4,0.9775813348412609,-1
8,variance_1,0.9775813348412609,-1
1,mean_1,0.9728339611185407,-1
21,mean_7,0.9728339611185407,-1
12,sd_0,0.962477291837318,-1
22,sd_2,0.962477291837318,-1
5,delta_0,0.933088761177947,1
18,x_0,0.9314596985023177,1
14,skew_1,0.8922143326496002,-2
20,skewness_0,0.8922143326496002,-2
