*************Target variables in total: 13*************
Number of Fault Insertions: 244
Number of Faulty Executions: 244
,variable_name,importance_score,p_label
11,variance_4,1.0428117333947016,-2
8,variance_1,1.0428117333947016,-2
12,sd_0,0.9966719470573395,-2
22,sd_2,0.9966719470573395,-2
18,x_0,0.7962899717028338,2
14,skew_1,0.7288327404253134,1
20,skewness_0,0.7288327404253134,1
3,mean_0,0.6559139784946237,0
10,variance_0,0.6559139784946237,0
16,skew_0,0.6559139784946237,0
21,mean_7,0.6405657969065004,1
1,mean_1,0.6405657969065004,1
5,delta_0,0.6078446094601772,-1
