*************Target variables in total: 37*************
Number of Fault Insertions: 351
Number of Faulty Executions: 323
,variable_name,importance_score,p_label
13,count_0,0.8760115513562329,0
1,n_4,0.8760115513562329,0
46,c0_0,0.8760115513562329,0
8,value_1,0.8760115513562329,0
11,count_1,0.8760115513562329,0
23,result_val_0,0.8572962894415205,2
30,d_4,0.8572962894415205,2
15,x_4,0.8355773700133896,-1
48,result_err_7,0.8353255167815716,-1
49,result_err_6,0.8353255167815716,-1
20,return_val_0,0.827029429038715,-1
43,px11_0,0.827029429038715,-1
18,result_val_4,0.827029429038715,-1
9,result_err_4,0.827029429038715,-1
6,value_2,0.827029429038715,-1
24,result_err_0,0.8162003425060038,-2
25,e_4,0.8162003425060038,-2
47,result_err_8,0.8104939365025268,-1
44,t_0,0.7949963634366054,-1
50,px_0,0.7860133020342605,1
29,e_0,0.7849331713244229,0
42,dd_0,0.7849331713244229,0
34,d_0,0.7849331713244229,0
19,status_0,0.7849331713244229,0
45,result_val_6,0.7826739597017166,1
37,temp_0,0.7627525828736782,-2
40,dd_1,0.7627525828736782,-2
27,e_1,0.750433999614335,2
22,y_0,0.7314581601083295,-2
21,y2_0,0.7314581601083295,-2
32,d_1,0.7248972336652799,-1
35,temp_3,0.7248972336652799,-1
54,result_err_10,0.6462139218691034,-1
52,result_val_7,0.6442776453275212,-1
53,c0_1,0.640138108876122,0
55,result_err_9,0.640138108876122,0
51,t_1,0.6019751373641042,-1
