*************Target variables in total: 37*************
Number of Fault Insertions: 692
Number of Faulty Executions: 593
,variable_name,max_risk_diff,quantile1,quantile2
26,result_val_6,0.629156010230179,0,4
22,dd_1,0.614,0,5
21,temp_0,0.614,0,5
20,temp_3,0.532,0,2
12,result_val_0,0.529,1,5
32,t_1,0.5024630541871921,5,4
18,d_1,0.4,0,5
17,d_4,0.2300000000000001,3,5
14,e_4,0.18100000000000005,2,4
33,result_val_7,0.15599343185550085,0,4
10,y2_0,0.132,0,8
11,y_0,0.11099999999999999,0,8
15,e_1,0.09799999999999998,9,4
1,value_2,0.06393861892583119,3,0
25,t_0,0.04347826086956519,3,0
7,result_val_4,0.025575447570332477,1,0
6,x_4,0.005115089514066473,2,0
9,return_val_0,0.002557544757033181,2,0
31,px_0,0.0,0,0
30,result_err_6,0.0,0,0
28,result_err_8,0.0,0,0
34,c0_1,0.0,0,0
35,result_err_10,0.0,0,0
27,c0_0,0.0,0,0
29,result_err_7,0.0,0,0
0,n_4,0.0,0,0
24,px11_0,0.0,0,0
23,dd_0,0.0,0,0
19,d_0,0.0,0,0
16,e_0,0.0,0,0
13,result_err_0,0.0,0,0
8,status_0,0.0,0,0
5,count_0,0.0,0,0
4,count_1,0.0,0,0
3,result_err_4,0.0,0,0
2,value_1,0.0,0,0
36,result_err_9,0.0,0,0
