*************Target variables in total: 37*************
Number of Fault Insertions: 770
Number of Faulty Executions: 471
,variable_name,importance_score,p_label
21,y2_0,1.3746772079495317,-2
40,dd_1,1.3746772079495317,-2
37,temp_0,1.3746772079495317,-2
30,d_4,1.3746772079495317,-2
25,e_4,1.3746772079495317,-2
24,result_err_0,1.3746772079495317,-2
23,result_val_0,1.3746772079495317,-2
22,y_0,1.3746772079495317,-2
53,c0_1,1.2147001934235977,0
55,result_err_9,1.2147001934235977,0
52,result_val_7,1.1698054140581757,-1
54,result_err_10,1.1647708182623089,-1
51,t_1,1.0984099418393711,-1
27,e_1,1.0148513429035302,-2
19,status_0,0.9701338825952627,0
42,dd_0,0.9701338825952627,0
34,d_0,0.9701338825952627,0
29,e_0,0.9701338825952627,0
32,d_1,0.9103166467525962,-1
35,temp_3,0.9103166467525962,-1
43,px11_0,0,-5
44,t_0,0,-5
45,result_val_6,0,-5
47,result_err_8,0,-5
46,c0_0,0,-5
48,result_err_7,0,-5
49,result_err_6,0,-5
50,px_0,0,-5
8,value_1,0,-5
6,value_2,0,-5
9,result_err_4,0,-5
1,n_4,0,-5
11,count_1,0,-5
13,count_0,0,-5
15,x_4,0,-5
20,return_val_0,0,-5
18,result_val_4,0,-5
