*************Target variables in total: 37*************
Number of Fault Insertions: 728
Number of Faulty Executions: 447
,variable_name,importance_score,p_label
21,y2_0,1.2701964730250705,-2
40,dd_1,1.2701964730250705,-2
37,temp_0,1.2701964730250705,-2
30,d_4,1.2701964730250705,-2
25,e_4,1.2701964730250705,-2
24,result_err_0,1.2701964730250705,-2
23,result_val_0,1.2701964730250705,-2
22,y_0,1.2701964730250705,-2
53,c0_1,1.1896207584830338,0
55,result_err_9,1.1896207584830338,0
52,result_val_7,1.1412401992413048,-1
54,result_err_10,1.1389912022395625,-1
51,t_1,1.0695579824225403,-1
27,e_1,0.9744896994732354,-2
19,status_0,0.9440337909186906,0
42,dd_0,0.9440337909186906,0
34,d_0,0.9440337909186906,0
29,e_0,0.9440337909186906,0
32,d_1,0.8831088505874177,-1
35,temp_3,0.8831088505874177,-1
43,px11_0,0,-5
44,t_0,0,-5
45,result_val_6,0,-5
47,result_err_8,0,-5
46,c0_0,0,-5
48,result_err_7,0,-5
49,result_err_6,0,-5
50,px_0,0,-5
8,value_1,0,-5
6,value_2,0,-5
9,result_err_4,0,-5
1,n_4,0,-5
11,count_1,0,-5
13,count_0,0,-5
15,x_4,0,-5
20,return_val_0,0,-5
18,result_val_4,0,-5
