*************Target variables in total: 37*************
Number of Fault Insertions: 488
Number of Faulty Executions: 175
,variable_name,importance_score,p_label
11,count_1,0.9446693657219972,0
1,n_4,0.9446693657219972,0
46,c0_0,0.9446693657219972,0
13,count_0,0.9446693657219972,0
8,value_1,0.9446693657219972,0
50,px_0,0.9316109824841158,-2
15,x_4,0.9175778914831945,-1
45,result_val_6,0.9073302220218551,1
9,result_err_4,0.9058306946796129,-1
43,px11_0,0.9058306946796129,-1
18,result_val_4,0.9058306946796129,-1
6,value_2,0.9058306946796129,-1
20,return_val_0,0.9058306946796129,-1
49,result_err_6,0.9058306946796129,-1
48,result_err_7,0.9058306946796129,-1
47,result_err_8,0.9058306946796129,-1
44,t_0,0.8600822469085122,-1
25,e_4,0.7673877920952044,-2
24,result_err_0,0.7673877920952044,-2
30,d_4,0.759175891881165,-2
23,result_val_0,0.759175891881165,-2
22,y_0,0.7325995773591211,-2
21,y2_0,0.7325995773591211,-2
37,temp_0,0.7103309163141832,-2
40,dd_1,0.7103309163141832,-2
27,e_1,0.6494288749117046,2
35,temp_3,0.5637319788698301,3
32,d_1,0.5637319788698301,3
19,status_0,0.5185185185185185,0
29,e_0,0.5185185185185185,0
42,dd_0,0.5185185185185185,0
34,d_0,0.5185185185185185,0
51,t_1,0.0,-5
52,result_val_7,0.0,-5
53,c0_1,0.0,-5
54,result_err_10,0.0,-5
55,result_err_9,0.0,-5
