*************Target variables in total: 37*************
Number of Fault Insertions: 100
Number of Faulty Executions: 100
,variable_name,max_risk_diff,quantile1,quantile2
26,result_val_6,0.9207161125319693,9,6
6,x_4,0.8976982097186701,0,3
9,return_val_0,0.5063938618925832,0,7
24,px11_0,0.4987212276214834,0,7
1,value_2,0.49104859335038364,0,7
7,result_val_4,0.07672634271099743,0,2
25,t_0,0.010230179028132991,1,0
15,e_1,0.008,4,5
10,y2_0,0.008,0,2
11,y_0,0.008,0,3
31,px_0,0.0076726342710997444,2,9
17,d_4,0.007,0,4
18,d_1,0.007,9,6
14,e_4,0.004,1,4
20,temp_3,0.004,0,4
12,result_val_0,0.002,0,3
30,result_err_6,0.0,0,0
32,t_1,0.0,0,0
29,result_err_7,0.0,0,0
33,result_val_7,0.0,0,0
34,c0_1,0.0,0,0
28,result_err_8,0.0,0,0
27,c0_0,0.0,0,0
35,result_err_10,0.0,0,0
0,n_4,0.0,0,0
23,dd_0,0.0,0,0
22,dd_1,0.0,0,0
21,temp_0,0.0,0,0
19,d_0,0.0,0,0
16,e_0,0.0,0,0
13,result_err_0,0.0,0,0
8,status_0,0.0,0,0
5,count_0,0.0,0,0
4,count_1,0.0,0,0
3,result_err_4,0.0,0,0
2,value_1,0.0,0,0
36,result_err_9,0.0,0,0
